Resor bokade av LTN´s kundservice till/från/inom Jokkmokk år 2019,,,,,,,,,,,
,,,,,,,,,,,
Förklaring,,,,,,,,,,,
"Plats: B=Bud, E=Ensamåkare, F=Framsäte, f= Fällt Framsäte, H=Hela baksätet, L=Liggande, 2=Max 2 pass i baksätet ",,,,,,,,,,,
"Biltyp: AN=Personbil, S1=Multi/Specialfordon",,,,,,,,,,,
,,,,,,,,,,,
Resdag,Avresetid,Biltyp,Plats,Antal pass,Från gata,Från ort,Från Kommun,Till gata,Till ort ,Till kommun,Linjenr
1/7/2019,14:10,AN,,1,TELLEJOKK,TELLEJOKK,JO,SGYM REHABCENTRUM,JOKKMOKK,JO,0
1/7/2019,14:10,AN,,1,TELLEJOKK,TELLEJOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/7/2019,14:30,S1,,2,TV FTV JOKKMOKK,JOKKMOKK,JO,HANTVERKARG,JOKKMOKK,JO,0
1/7/2019,15:00,AN,,1,BUP,LULEÅ,LU,LÅNGG,VUOLLERIM,JO,0
1/7/2019,15:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,FLYGSTRÅKET,PORJUS,JO,0
1/7/2019,16:15,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/7/2019,17:00,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/7/2019,17:00,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/7/2019,17:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,HC JOKKMOKK,JOKKMOKK,JO,0
1/7/2019,19:30,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/7/2019,19:40,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,FORSHÄLLAN,FORSHÄLLAN,JO,0
1/7/2019,20:20,AN,F,1,SJUKHUSET,GÄLLIVARE,GÄ,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
1/7/2019,23:45,AN,,1,FLYGSTRÅKET,PORJUS,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/8/2019,00:40,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,FLYGSTRÅKET,PORJUS,JO,0
1/8/2019,03:10,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/8/2019,07:00,AN,,1,MURKISTRÄSK,MURKISTRÄSK,JO,SJUKHUSET,SUNDERBYN,LU,0
1/8/2019,08:38,AN,,0,FRAMKÖRNING,,,TELLEJOKK,TELLEJOKK,JO,0
1/8/2019,08:40,AN,,1,TELLEJOKK,TELLEJOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/8/2019,08:41,AN,,1,TELLEJOKK,TELLEJOKK,JO,SGYM REHABCENTRUM,JOKKMOKK,JO,0
1/8/2019,08:53,AN,,1,KÅBDALIS,KÅBDALIS,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/8/2019,08:53,AN,,1,ÄLVV,VUOLLERIM,JO,SJUKHUSET,SUNDERBYN,LU,0
1/8/2019,08:59,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/8/2019,09:04,AN,,1,KLOCKARV,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/8/2019,09:30,AN,,1,MATTISUDDEN,MATTISUDDEN,JO,APOTEKET JOKKMOKK,JOKKMOKK,JO,0
1/8/2019,11:00,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,KÅBDALIS,KÅBDALIS,JO,0
1/8/2019,11:52,AN,,1,KIRTIK,MURJEK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/8/2019,12:16,AN,,1,TÅRRAJAUR,TÅRRAJAUR,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/8/2019,12:48,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
1/8/2019,12:55,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,SGYM REHABCENTRUM,JOKKMOKK,JO,0
1/8/2019,12:55,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/8/2019,12:58,S1,-,2,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/8/2019,12:59,AN,,1,SJUKHUSET,SUNDERBYN,LU,ÄLVV,VUOLLERIM,JO,0
1/8/2019,13:00,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,KLOCKARTORGET,JOKKMOKK,JO,0
1/8/2019,13:04,AN,,2,KAITUMGÅRDEN ÖVERGÅRD,JOKKMOKK,JO,TV FTV JOKKMOKK,JOKKMOKK,JO,0
1/8/2019,14:00,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,TÅRRAJAUR,TÅRRAJAUR,JO,0
1/8/2019,14:40,AN,,2,TV FTV JOKKMOKK,JOKKMOKK,JO,KAITUMGÅRDEN ÖVERGÅRD,JOKKMOKK,JO,0
1/8/2019,14:54,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,KIRTIK,MURJEK,JO,0
1/8/2019,15:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,VÄSTERG,JOKKMOKK,JO,0
1/8/2019,15:20,S1,-,2,HC JOKKMOKK,JOKKMOKK,JO,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
1/8/2019,15:30,AN,,1,KAITUMGÅRDEN ÖVERGÅRD,JOKKMOKK,JO,MATTISUDDEN,MATTISUDDEN,JO,0
1/8/2019,16:55,AN,,1,BSTN JOKKMOKK,JOKKMOKK,JO,HARAUDDEN,HARAUDDEN,JO,0
1/8/2019,19:10,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,FÖRENINGSG,JOKKMOKK,JO,0
1/9/2019,06:07,AN,,1,FORSHÄLLAN,FORSHÄLLAN,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/9/2019,06:16,AN,F,1,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/9/2019,06:16,AN,,1,ULLENIUSG,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/9/2019,06:29,AN,,2,KÅSKATS,KÅSKATS,JO,SJUKHUSET,SUNDERBYN,LU,0
1/9/2019,06:50,AN,E,1,ÄLVSBORGSV,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/9/2019,08:40,AN,,1,TELLEJOKK,TELLEJOKK,JO,SGYM REHABCENTRUM,JOKKMOKK,JO,0
1/9/2019,08:40,AN,,1,TELLEJOKK,TELLEJOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/9/2019,09:00,AN,F,1,FÖRENINGSG,JOKKMOKK,JO,KONSUM,JOKKMOKK,JO,0
1/9/2019,09:30,AN,F,1,KONSUM,JOKKMOKK,JO,FÖRENINGSG,JOKKMOKK,JO,0
1/9/2019,09:51,AN,E,1,SJUKHUSET,GÄLLIVARE,GÄ,ÄLVSBORGSV,JOKKMOKK,JO,0
1/9/2019,10:00,S1,,2,PORJUSV,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/9/2019,10:05,LI,,1,FLP LULEÅ,LULEÅ,LU,BSTN JOKKMOKK,JOKKMOKK,JO,712
1/9/2019,10:24,AN,,1,WÄSTFELTSG,JOKKMOKK,JO,SJUKHUSET,SUNDERBYN,LU,0
1/9/2019,10:40,AN,,1,BODENV,VUOLLERIM,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/9/2019,11:00,AN,,2,SJUKHUSET,SUNDERBYN,LU,KÅSKATS,KÅSKATS,JO,0
1/9/2019,11:10,AN,,1,LÄKARG,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/9/2019,12:22,AN,,1,MATTISUDDEN,MATTISUDDEN,JO,SPF FJÄLLVINDEN,JOKKMOKK,JO,0
1/9/2019,12:36,AN,,1,LÄKARG,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/9/2019,12:56,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/9/2019,13:00,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,ÄLVBRINKSV,VUOLLERIM,JO,0
1/9/2019,13:15,AN,,1,RAJDV,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/9/2019,13:15,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,FORSHÄLLAN,FORSHÄLLAN,JO,0
1/9/2019,14:00,AN,,1,SJUKHUSET,PITEÅ,PI,MURKISTRÄSK,MURKISTRÄSK,JO,0
